190666E,B-,2.7
200001H,A,4.0
200002L,B+,3.3
200003P,A,4.0
200004U,B-,2.7
200005A,B-,2.7
200006D,A,4.0
200007G,A-,3.7
200008K,B,3.0
200009N,A-,3.7
200010J,A-,3.7
200011M,B-,2.7
200012R,B+,3.3
200013V,C,2.0
200014B,B+,3.3
200015E,C+,2.3
200016H,B,3.0
200017L,B,3.0
200018P,C,2.0
200019U,C+,2.3
200020N,C,2.0
200021T,A,4.0
200022X,A+,4.0
200023C,A+,4.0
200024F,C+,2.3
200025J,B,3.0
200026M,B+,3.3
200027R,A,4.0
200028V,A-,3.7
200029B,A,4.0
200030U,B+,3.3
200031A,B,3.0
200032D,B-,2.7
200033G,B+,3.3
200034K,B+,3.3
200035N,A-,3.7
200036T,A+,4.0
200037X,B+,3.3
200038C,B-,2.7
200039F,A-,3.7
200040B,A,4.0
200041E,A,4.0
200042H,B,3.0
200043L,I-we,0
200044P,B,3.0
200045U,A,4.0
200046A,B+,3.3
200047D,B,3.0
200048G,B-,2.7
200049K,C,2.0
200050F,B+,3.3
200051J,A+,4.0
200052M,C-,1.5
200053R,C+,2.3
200054V,B-,2.7
200055B,B-,2.7
200056E,B-,2.7
200057H,B+,3.3
200058L,B+,3.3
200059P,A,4.0
200060K,B-,2.7
200061N,A,4.0
200062T,C+,2.3
200063X,A-,3.7
200064C,A-,3.7
200065F,C+,2.3
200066J,C+,2.3
200067M,B-,2.7
200068R,A,4.0
200069V,A-,3.7
200070P,B-,2.7
200071U,B,3.0
200072A,A,4.0
200073D,A-,3.7
200074G,B,3.0
200075K,B,3.0
200076N,C-,1.5
200077T,B-,2.7
200078X,A,4.0
200079C,C-,1.5
200080V,B,3.0
200081B,B+,3.3
200082E,A+,4.0
200083H,B,3.0
200084L,A,4.0
200085P,B+,3.3
200086U,F,0
200087A,A,4.0
200088D,A,4.0
200089G,A,4.0
200090C,C+,2.3
200091F,B+,3.3
200092J,B,3.0
200093M,B,3.0
200094R,A,4.0
200095V,B+,3.3
200096B,C+,2.3
200097E,C-,1.5
200098H,B+,3.3
200099L,B,3.0
200100K,B,3.0
200101N,C,2.0
200102T,A,4.0
200103X,C+,2.3
200104C,B+,3.3
200105F,A,4.0
200106J,B-,2.7
200107M,B-,2.7
200108R,A+,4.0
200109V,B+,3.3
200110P,A,4.0
200111U,B+,3.3
200112A,A-,3.7
200113D,B+,3.3
200114G,A-,3.7
200115K,A,4.0
200116N,C-,1.5
200117T,B+,3.3
200118X,B+,3.3
200119C,A,4.0
200120V,B+,3.3
200121B,I-we,0
200122E,B,3.0
200123H,B,3.0
200124L,B-,2.7
200125P,A,4.0
200126U,A-,3.7
200127A,C-,1.5
200128D,B,3.0
200129G,B-,2.7
200130C,B-,2.7
200131F,C+,2.3
200132J,I-we,0
200133M,C,2.0
200134R,B+,3.3
200135V,C-,1.5
200136B,B,3.0
200137E,C+,2.3
200138H,A-,3.7
200139L,C,2.0
200140G,B+,3.3
200141K,B-,2.7
200142N,C,2.0
200143T,C-,1.5
200144X,A,4.0
200145C,B-,2.7
200146F,C+,2.3
200147J,C,2.0
200148M,A-,3.7
200149R,A-,3.7
200150L,B,3.0
200151P,B,3.0
200152U,C-,1.5
200153A,B-,2.7
200154D,A,4.0
200155G,A-,3.7
200156K,B,3.0
200157N,B+,3.3
200158T,B+,3.3
200159X,B,3.0
200160R,A-,3.7
200161V,C+,2.3
200162B,I-we,0
200163E,A-,3.7
200164H,A,4.0
200165L,B,3.0
200166P,B-,2.7
200167U,B-,2.7
200168A,B-,2.7
200169D,B-,2.7
200170X,B,3.0
200171C,C,2.0
200172F,A-,3.7
200173J,A+,4.0
200174M,A-,3.7
200175R,B,3.0
200176V,A,4.0
200177B,C,2.0
200178E,B+,3.3
200179H,B+,3.3
200180D,A+,4.0
200181G,B+,3.3
200182K,B,3.0
200183N,B+,3.3
200184T,A-,3.7
200185X,A-,3.7
200186C,B,3.0
200187F,B,3.0
200188J,B,3.0
200189M,A,4.0
200190H,B+,3.3
200191L,B-,2.7
200192P,A-,3.7
200193U,A,4.0
200194A,B+,3.3
200195D,B-,2.7
200196G,A-,3.7
200197K,B-,2.7
200198N,B-,2.7
200199T,A,4.0
200200R,I-we,0
200201V,A,4.0
200202B,A-,3.7
200203E,B+,3.3
200204H,B-,2.7
200205L,C+,2.3
200206P,B+,3.3
200207U,A,4.0
200208A,B+,3.3
200209D,C+,2.3
200210X,B-,2.7
200211C,B+,3.3
200212F,A,4.0
200213J,I-we,0
200214M,B-,2.7
200215R,B-,2.7
200216V,B,3.0
200217B,B-,2.7
200218E,C,2.0
200219H,C+,2.3
200220D,A,4.0
200221G,B+,3.3
200222K,B,3.0
200223N,B,3.0
200224T,B,3.0
200225X,B,3.0
200226C,B,3.0
200227F,B+,3.3
200228J,B-,2.7
200229M,B,3.0
200230H,C-,1.5
200231L,A,4.0
200232P,A,4.0
200233U,B-,2.7
200234A,B,3.0
200235D,B,3.0
200236G,B-,2.7
200237K,C+,2.3
200238N,B,3.0
200239T,B+,3.3
200240M,A+,4.0
200241R,C-,1.5
200242V,B+,3.3
200243B,C,2.0
200244E,B-,2.7
200245H,B,3.0
200246L,B,3.0
200247P,A+,4.0
200248U,B-,2.7
200249A,A,4.0
200250T,A,4.0
200251X,A-,3.7
200252C,F,0
200253F,I-we,0
200254J,B+,3.3
200255M,B+,3.3
200256R,B,3.0
200257V,C-,1.5
200258B,C+,2.3
200259E,B-,2.7
200260A,B+,3.3
200261D,I-we,0
200262G,A-,3.7
200263K,B-,2.7
200264N,B,3.0
200265T,B+,3.3
200266X,B,3.0
200267C,C,2.0
200268F,B-,2.7
200269J,B+,3.3
200270E,C-,1.5
200271H,C-,1.5
200272L,A,4.0
200273P,B+,3.3
200274U,B+,3.3
200275A,A,4.0
200276D,A-,3.7
200277G,A-,3.7
200278K,B-,2.7
200279N,A-,3.7
200280J,B-,2.7
200281M,A-,3.7
200282R,C+,2.3
200283V,A,4.0
200284B,A,4.0
200285E,A,4.0
200286H,B,3.0
200287L,A,4.0
200288P,C-,1.5
200289U,B+,3.3
200290N,B+,3.3
200291T,C,2.0
200292X,B,3.0
200293C,A-,3.7
200294F,B+,3.3
200295J,A-,3.7
200296M,A+,4.0
200297R,C+,2.3
200298V,A,4.0
200299B,B,3.0
200300A,A,4.0
200301D,A-,3.7
200302G,B-,2.7
200303K,B,3.0
200304N,A,4.0
200305T,B,3.0
200306X,B+,3.3
200307C,A+,4.0
200308F,B,3.0
200309J,B-,2.7
200310E,A+,4.0
200311H,B+,3.3
200312L,A,4.0
200313P,B-,2.7
200314U,B-,2.7
200315A,B,3.0
200316D,C,2.0
200317G,A-,3.7
200318K,A-,3.7
200319N,B,3.0
200320J,C,2.0
200321M,B,3.0
200322R,B-,2.7
200323V,A,4.0
200324B,C,2.0
200325E,B+,3.3
200326H,C,2.0
200327L,B+,3.3
200328P,B+,3.3
200329U,C-,1.5
200330N,B-,2.7
200331T,A,4.0
200332X,A,4.0
200333C,A-,3.7
200334F,B-,2.7
200335J,B,3.0
200336M,B+,3.3
200337R,C-,1.5
200338V,C,2.0
200339B,A+,4.0
200340U,B+,3.3
200341A,B-,2.7
200342D,B-,2.7
200343G,A,4.0
200344K,B-,2.7
200345N,A,4.0
200346T,A,4.0
200347X,C+,2.3
200348C,A-,3.7
200349F,B+,3.3
200350B,B+,3.3
200351E,B,3.0
200352H,A,4.0
200353L,A,4.0
200354P,A-,3.7
200355U,B-,2.7
200356A,A,4.0
200357D,A-,3.7
200358G,A,4.0
200359K,B+,3.3
200360F,A-,3.7
200361J,C-,1.5
200362M,C+,2.3
200363R,A,4.0
200364V,C-,1.5
200365B,B+,3.3
200366E,B+,3.3
200367H,C,2.0
200368L,B,3.0
200369P,C+,2.3
200370K,I-we,0
200371N,C,2.0
200372T,B-,2.7
200373X,A,4.0
200374C,B-,2.7
200375F,B+,3.3
200376J,C+,2.3
200377M,A-,3.7
200378R,A,4.0
200379V,C+,2.3
200380P,B-,2.7
200381U,A+,4.0
200382A,A-,3.7
200383D,B+,3.3
