190666E,B-,2.7
200001H,A+,4.0
200002L,B,3.0
200003P,A,4.0
200004U,A-,3.7
200005A,C+,2.3
200006D,A,4.0
200007G,B,3.0
200008K,A-,3.7
200009N,A-,3.7
200010J,A,4.0
200011M,B-,2.7
200012R,B+,3.3
200013V,B+,3.3
200014B,B,3.0
200015E,B+,3.3
200016H,B+,3.3
200017L,C+,2.3
200018P,D,1.0
200019U,B-,2.7
200020N,C,2.0
200021T,A-,3.7
200022X,A,4.0
200023C,A,4.0
200024F,B+,3.3
200025J,B,3.0
200026M,C+,2.3
200027R,A+,4.0
200028V,A,4.0
200029B,B-,2.7
200030U,B,3.0
200031A,A,4.0
200032D,C,2.0
200033G,B,3.0
200034K,B-,2.7
200035N,A+,4.0
200036T,A+,4.0
200037X,A,4.0
200038C,B-,2.7
200039F,A,4.0
200040B,A,4.0
200041E,A+,4.0
200042H,C+,2.3
200043L,I-we,0
200044P,A,4.0
200045U,A,4.0
200046A,B,3.0
200047D,B,3.0
200048G,B-,2.7
200049K,B-,2.7
200050F,C,2.0
200051J,A,4.0
200052M,C-,1.5
200053R,B+,3.3
200054V,A-,3.7
200055B,B-,2.7
200056E,B+,3.3
200057H,A,4.0
200058L,B+,3.3
200059P,B,3.0
200060K,A-,3.7
200061N,A,4.0
200062T,C+,2.3
200063X,A,4.0
200064C,A,4.0
200065F,C,2.0
200066J,A,4.0
200067M,A-,3.7
200068R,A,4.0
200069V,A+,4.0
200070P,C+,2.3
200071U,B,3.0
200072A,A,4.0
200073D,B,3.0
200074G,C,2.0
200075K,B+,3.3
200076N,I-we,0
200077T,C-,1.5
200078X,A,4.0
200079C,C,2.0
200080V,B,3.0
200081B,A-,3.7
200082E,A,4.0
200083H,C+,2.3
200084L,A,4.0
200085P,B+,3.3
200086U,F,0
200087A,A,4.0
200088D,A+,4.0
200089G,A-,3.7
200090C,B,3.0
200091F,A-,3.7
200092J,B-,2.7
200093M,A,4.0
200094R,A,4.0
200095V,A-,3.7
200096B,I-ca,0
200097E,B-,2.7
200098H,B-,2.7
200099L,C,2.0
200100K,B-,2.7
200101N,C+,2.3
200102T,A+,4.0
200103X,A-,3.7
200104C,I-we,0
200105F,A+,4.0
200106J,C+,2.3
200107M,B+,3.3
200108R,A-,3.7
200109V,C+,2.3
200110P,A,4.0
200111U,B-,2.7
200112A,A-,3.7
200113D,B-,2.7
200114G,A,4.0
200115K,A,4.0
200116N,I-we,0
200117T,A-,3.7
200118X,A,4.0
200119C,A+,4.0
200120V,A-,3.7
200121B,F,0
200122E,B-,2.7
200123H,A,4.0
200124L,C+,2.3
200125P,A,4.0
200126U,B,3.0
200127A,C+,2.3
200128D,A,4.0
200129G,A,4.0
200130C,B,3.0
200131F,B,3.0
200132J,B-,2.7
200133M,C+,2.3
200134R,A-,3.7
200135V,B,3.0
200136B,A-,3.7
200137E,B,3.0
200138H,B+,3.3
200139L,B-,2.7
200140G,A,4.0
200141K,B+,3.3
200142N,B,3.0
200143T,C,2.0
200144X,B+,3.3
200145C,B,3.0
200146F,C+,2.3
200147J,C,2.0
200148M,A,4.0
200149R,A-,3.7
200150L,C+,2.3
200151P,B-,2.7
200152U,C,2.0
200153A,B-,2.7
200154D,A-,3.7
200155G,B-,2.7
200156K,C,2.0
200157N,A-,3.7
200158T,B+,3.3
200159X,A,4.0
200160R,A,4.0
200161V,A-,3.7
200162B,F,0
200163E,A,4.0
200164H,A+,4.0
200165L,A-,3.7
200166P,B,3.0
200167U,A-,3.7
200168A,A,4.0
200169D,B-,2.7
200170X,A,4.0
200171C,B+,3.3
200172F,A-,3.7
200173J,A,4.0
200174M,B+,3.3
200175R,B+,3.3
200176V,A,4.0
200177B,B-,2.7
200178E,B+,3.3
200179H,A,4.0
200180D,A+,4.0
200181G,B+,3.3
200182K,B,3.0
200183N,C,2.0
200184T,A,4.0
200185X,B,3.0
200186C,A,4.0
200187F,A-,3.7
200188J,A-,3.7
200189M,A+,4.0
200190H,A-,3.7
200191L,A-,3.7
200192P,B-,2.7
200193U,A-,3.7
200194A,B-,2.7
200195D,B+,3.3
200196G,A,4.0
200197K,A-,3.7
200198N,B,3.0
200199T,B+,3.3
200200R,I-we,0
200201V,A,4.0
200202B,A,4.0
200203E,C,2.0
200204H,B,3.0
200205L,B,3.0
200206P,A,4.0
200207U,A+,4.0
200208A,B,3.0
200209D,B+,3.3
200210X,A-,3.7
200211C,B-,2.7
200212F,A+,4.0
200213J,I-we,0
200214M,B,3.0
200215R,B,3.0
200216V,B,3.0
200217B,C+,2.3
200218E,C+,2.3
200219H,B,3.0
200220D,B+,3.3
200221G,B,3.0
200222K,A-,3.7
200223N,B-,2.7
200224T,C+,2.3
200225X,A,4.0
200226C,A-,3.7
200227F,A,4.0
200228J,B-,2.7
200229M,C+,2.3
200230H,C,2.0
200231L,B-,2.7
200232P,B,3.0
200233U,B,3.0
200234A,B-,2.7
200235D,A,4.0
200236G,A-,3.7
200237K,B+,3.3
200238N,A,4.0
200239T,A,4.0
200240M,A+,4.0
200241R,I-we,0
200242V,A,4.0
200243B,A-,3.7
200244E,B,3.0
200245H,C+,2.3
200246L,C+,2.3
200247P,A-,3.7
200248U,C+,2.3
200249A,B+,3.3
200250T,A-,3.7
200251X,A-,3.7
200252C,F,0
200253F,I-we,0
200254J,A-,3.7
200255M,A,4.0
200256R,B,3.0
200257V,C,2.0
200258B,C,2.0
200259E,B-,2.7
200260A,A,4.0
200261D,I-we,0
200262G,A,4.0
200263K,B,3.0
200264N,B+,3.3
200265T,A,4.0
200266X,B+,3.3
200267C,C,2.0
200268F,C+,2.3
200269J,B,3.0
200270E,C-,1.5
200271H,I-we,0
200272L,B+,3.3
200273P,A-,3.7
200274U,A-,3.7
200275A,B+,3.3
200276D,B-,2.7
200277G,A,4.0
200278K,B-,2.7
200279N,A-,3.7
200280J,B,3.0
200281M,A,4.0
200282R,A-,3.7
200283V,A,4.0
200284B,A,4.0
200285E,A-,3.7
200286H,B,3.0
200287L,A+,4.0
200288P,C+,2.3
200289U,A,4.0
200290N,C+,2.3
200291T,B-,2.7
200292X,B,3.0
200293C,A-,3.7
200294F,A-,3.7
200295J,A,4.0
200296M,A+,4.0
200297R,B,3.0
200298V,B,3.0
200299B,C,2.0
200300A,A,4.0
200301D,A,4.0
200302G,C+,2.3
200303K,A,4.0
200304N,A,4.0
200305T,B+,3.3
200306X,A,4.0
200307C,A,4.0
200308F,A,4.0
200309J,B,3.0
200310E,B+,3.3
200311H,B,3.0
200312L,A,4.0
200313P,B,3.0
200314U,A+,4.0
200315A,B-,2.7
200316D,A-,3.7
200317G,C-,1.5
200318K,A-,3.7
200319N,B-,2.7
200320J,B-,2.7
200321M,A,4.0
200322R,A,4.0
200323V,A,4.0
200324B,B-,2.7
200325E,A-,3.7
200326H,B-,2.7
200327L,A-,3.7
200328P,B+,3.3
200329U,B-,2.7
200330N,C,2.0
200331T,A-,3.7
200332X,A,4.0
200333C,A-,3.7
200334F,A,4.0
200335J,A,4.0
200336M,B+,3.3
200337R,C+,2.3
200338V,C-,1.5
200339B,A+,4.0
200340U,A-,3.7
200341A,A+,4.0
200342D,A-,3.7
200343G,A+,4.0
200344K,B-,2.7
200345N,A,4.0
200346T,A+,4.0
200347X,A,4.0
200348C,A,4.0
200349F,A+,4.0
200350B,B+,3.3
200351E,A-,3.7
200352H,A,4.0
200353L,A,4.0
200354P,A-,3.7
200355U,B-,2.7
200356A,A-,3.7
200357D,B+,3.3
200358G,A+,4.0
200359K,B-,2.7
200360F,B,3.0
200361J,A-,3.7
200362M,B-,2.7
200363R,A,4.0
200364V,C+,2.3
200365B,A,4.0
200366E,A-,3.7
200367H,C+,2.3
200368L,B+,3.3
200369P,C+,2.3
200370K,F,0
200371N,B,3.0
200372T,C+,2.3
200373X,A,4.0
200374C,I-we,0
200375F,A-,3.7
200376J,B-,2.7
200377M,A,4.0
200378R,B-,2.7
200379V,C,2.0
200380P,B,3.0
200381U,A+,4.0
200382A,B+,3.3
200383D,B+,3.3
200384G,B+,3.3
200385K,B,3.0
