190666E,C+,2.3
190849T,B+,3.3
200001H,A,4.0
200002L,A-,3.7
200003P,A,4.0
200004U,A-,3.7
200005A,B,3.0
200006D,A,4.0
200007G,A,4.0
200008K,A,4.0
200009N,A-,3.7
200010J,A,4.0
200011M,B-,2.7
200012R,B,3.0
200013V,B-,2.7
200014B,A,4.0
200015E,B+,3.3
200016H,A-,3.7
200017L,C+,2.3
200018P,B+,3.3
200019U,B+,3.3
200020N,B,3.0
200021T,A+,4.2
200022X,A+,4.2
200023C,A+,4.2
200024F,C+,2.3
200025J,A-,3.7
200026M,B-,2.7
200027R,A+,4.2
200028V,A+,4.2
200029B,A+,4.2
200030U,A-,3.7
200031A,A,4.0
200032D,C,2.0
200033G,A-,3.7
200034K,A-,3.7
200035N,A,4.0
200036T,A+,4.2
200037X,B-,2.7
200038C,B-,2.7
200039F,A,4.0
200040B,A,4.0
200041E,A,4.0
200042H,B+,3.3
200043L,C,2.0
200044P,B-,2.7
200045U,A,4.0
200046A,B,3.0
200047D,B-,2.7
200048G,C+,2.3
200049K,B+,3.3
200050F,B,3.0
200051J,A,4.0
200052M,C-,1.7
200053R,B+,3.3
200054V,B+,3.3
200055B,B,3.0
200056E,A-,3.7
200057H,A+,4.2
200058L,A,4.0
200059P,A,4.0
200060K,A-,3.7
200061N,A,4.0
200062T,A-,3.7
200063X,A,4.0
200064C,A-,3.7
200065F,B-,2.7
200066J,A-,3.7
200067M,B,3.0
200068R,A+,4.2
200069V,A,4.0
200070P,B,3.0
200071U,A-,3.7
200072A,A+,4.2
200073D,A,4.0
200074G,I-we,0
200075K,A,4.0
200076N,C-,1.7
200077T,C,2.0
200078X,A,4.0
200079C,C+,2.3
200080V,A-,3.7
200081B,B,3.0
200082E,A,4.0
200083H,B,3.0
200084L,B,3.0
200085P,A,4.0
200086U,F,0
200087A,A,4.0
200088D,A,4.0
200089G,A,4.0
200090C,B-,2.7
200091F,A,4.0
200092J,A-,3.7
200093M,A-,3.7
200094R,A,4.0
200095V,A,4.0
200096B,C-,1.7
200097E,C+,2.3
200098H,B+,3.3
200099L,B-,2.7
200100K,A,4.0
200101N,B-,2.7
200102T,A,4.0
200103X,B+,3.3
200104C,B-,2.7
200105F,A+,4.2
200106J,B-,2.7
200107M,B,3.0
200108R,A,4.0
200109V,B+,3.3
200110P,A,4.0
200111U,I-we,0
200112A,A,4.0
200113D,B,3.0
200114G,A,4.0
200115K,A,4.0
200116N,I-we,0
200117T,A,4.0
200118X,A,4.0
200119C,A-,3.7
200120V,B,3.0
200121B,F,0
200122E,B,3.0
200123H,A-,3.7
200124L,C+,2.3
200125P,A,4.0
200126U,A,4.0
200127A,B-,2.7
200128D,A,4.0
200129G,B,3.0
200130C,A-,3.7
200131F,B-,2.7
200132J,B-,2.7
200133M,B+,3.3
200134R,A-,3.7
200135V,B+,3.3
200136B,A,4.0
200137E,B,3.0
200138H,B+,3.3
200139L,B,3.0
200140G,A,4.0
200141K,B+,3.3
200142N,B+,3.3
200143T,C+,2.3
200144X,A+,4.2
200145C,B,3.0
200146F,C,2.0
200147J,C-,1.7
200148M,A+,4.2
200149R,C+,2.3
200150L,B+,3.3
200151P,B+,3.3
200152U,C-,1.7
200153A,B-,2.7
200154D,A,4.0
200155G,A-,3.7
200156K,C-,1.7
200157N,B,3.0
200158T,A,4.0
200159X,A,4.0
200160R,A,4.0
200161V,A-,3.7
200162B,F,0
200163E,A,4.0
200164H,A+,4.2
200165L,A,4.0
200166P,B,3.0
200167U,A,4.0
200168A,A+,4.2
200169D,A-,3.7
200170X,A-,3.7
200171C,B,3.0
200172F,A,4.0
200173J,A+,4.2
200174M,B+,3.3
200175R,A-,3.7
200176V,A,4.0
200177B,B+,3.3
200178E,B+,3.3
200179H,A,4.0
200180D,A,4.0
200181G,B+,3.3
200182K,A,4.0
200183N,B+,3.3
200184T,A,4.0
200185X,A-,3.7
200186C,B+,3.3
200187F,A-,3.7
200188J,A-,3.7
200189M,A,4.0
200190H,B-,2.7
200191L,A-,3.7
200192P,B-,2.7
200193U,A,4.0
200194A,C+,2.3
200195D,B+,3.3
200196G,A,4.0
200197K,A,4.0
200198N,A,4.0
200199T,A+,4.2
200200R,I-we,0
200201V,A,4.0
200202B,B,3.0
200203E,B,3.0
200204H,A,4.0
200205L,B,3.0
200206P,A,4.0
200207U,A,4.0
200208A,A-,3.7
200209D,B,3.0
200210X,A-,3.7
200211C,B+,3.3
200212F,A,4.0
200213J,I-we,0
200214M,C+,2.3
200215R,A,4.0
200216V,A,4.0
200217B,C+,2.3
200218E,B+,3.3
200219H,B+,3.3
200220D,A,4.0
200221G,A,4.0
200222K,A,4.0
200223N,B+,3.3
200224T,B-,2.7
200225X,A-,3.7
200226C,A,4.0
200227F,B+,3.3
200228J,C,2.0
200229M,B,3.0
200230H,B+,3.3
200231L,B-,2.7
200232P,A-,3.7
200233U,B,3.0
200234A,B-,2.7
200235D,B,3.0
200236G,A-,3.7
200237K,B-,2.7
200238N,B-,2.7
200239T,A+,4.2
200240M,A+,4.2
200241R,C,2.0
200242V,A,4.0
200243B,B+,3.3
200244E,B,3.0
200245H,B+,3.3
200246L,B-,2.7
200247P,A+,4.2
200248U,B+,3.3
200249A,A,4.0
200250T,B,3.0
200251X,A-,3.7
200252C,F,0
200253F,C-,1.7
200254J,B+,3.3
200255M,A,4.0
200256R,C+,2.3
200257V,C+,2.3
200258B,C,2.0
200259E,B-,2.7
200260A,A,4.0
200261D,I-we,0
200262G,B+,3.3
200263K,B,3.0
200264N,A-,3.7
200265T,B+,3.3
200266X,B,3.0
200267C,B-,2.7
200268F,B,3.0
200269J,A+,4.2
200270E,C+,2.3
200271H,B,3.0
200272L,A,4.0
200273P,C+,2.3
200274U,A-,3.7
200275A,B+,3.3
200276D,A,4.0
200277G,A,4.0
200278K,B-,2.7
200279N,A+,4.2
200280J,A-,3.7
200281M,A,4.0
200282R,B+,3.3
200283V,A,4.0
200284B,A+,4.2
200285E,A,4.0
200286H,B+,3.3
200287L,A+,4.2
200288P,C-,1.7
200289U,A,4.0
200290N,C,2.0
200291T,B+,3.3
200292X,B+,3.3
200293C,A,4.0
200294F,A,4.0
200295J,A,4.0
200296M,A+,4.2
200297R,I-we,0
200298V,A,4.0
200299B,B,3.0
200300A,A,4.0
200301D,A,4.0
200302G,B,3.0
200303K,B+,3.3
200304N,A+,4.2
200305T,B,3.0
200306X,A+,4.2
200307C,A+,4.2
200308F,B+,3.3
200309J,B-,2.7
200310E,A,4.0
200311H,B,3.0
200312L,A,4.0
200313P,A-,3.7
200314U,B,3.0
200315A,B+,3.3
200316D,B,3.0
200317G,I-we,0
200318K,A+,4.2
200319N,C+,2.3
200320J,B-,2.7
200321M,A-,3.7
200322R,A,4.0
200323V,B,3.0
200324B,B-,2.7
200325E,B,3.0
200326H,B+,3.3
200327L,B+,3.3
200328P,A-,3.7
200329U,B,3.0
200330N,B+,3.3
200331T,A,4.0
200332X,A-,3.7
200333C,A,4.0
200334F,A-,3.7
200335J,A-,3.7
200336M,A-,3.7
200337R,I-we,0
200338V,B-,2.7
200339B,A+,4.2
200340U,B+,3.3
200341A,C,2.0
200342D,A-,3.7
200343G,A,4.0
200344K,B-,2.7
200345N,A,4.0
200346T,A,4.0
200347X,B-,2.7
200348C,A+,4.2
200349F,A+,4.2
200350B,A-,3.7
200351E,A+,4.2
200352H,A,4.0
200353L,A-,3.7
200354P,A,4.0
200355U,B-,2.7
200356A,A-,3.7
200357D,A,4.0
200358G,A,4.0
200359K,B+,3.3
200360F,A,4.0
200361J,B,3.0
200362M,B-,2.7
200363R,A,4.0
200364V,B,3.0
200365B,A,4.0
200366E,A+,4.2
200367H,B-,2.7
200368L,B+,3.3
200369P,C+,2.3
200370K,F,0
