190666E,C+,2.3
190849T,C,2.0
200001H,A-,3.7
200002L,B+,3.3
200003P,A+,4.0
200004U,A-,3.7
200005A,C+,2.3
200006D,A-,3.7
200007G,B+,3.3
200008K,A,4.0
200009N,B,3.0
200010J,A,4.0
200011M,C,2.0
200012R,B+,3.3
200013V,C+,2.3
200014B,A-,3.7
200015E,B,3.0
200016H,B-,2.7
200017L,B+,3.3
200018P,C,2.0
200019U,B-,2.7
200020N,B,3.0
200021T,B-,2.7
200022X,A-,3.7
200023C,A+,4.0
200024F,B-,2.7
200025J,A-,3.7
200026M,B-,2.7
200027R,A,4.0
200028V,A-,3.7
200029B,A-,3.7
200030U,B+,3.3
200031A,A,4.0
200032D,C,2.0
200033G,C+,2.3
200034K,C,2.0
200035N,A,4.0
200036T,A+,4.0
200037X,B+,3.3
200038C,B-,2.7
200039F,B+,3.3
200040B,B,3.0
200041E,A,4.0
200042H,C,2.0
200043L,I-we,0
200044P,C+,2.3
200045U,A+,4.0
200046A,B+,3.3
200047D,C+,2.3
200048G,C-,1.7
200049K,C-,1.7
200050F,C+,2.3
200051J,A,4.0
200052M,C,2.0
200053R,C-,1.7
200054V,B,3.0
200055B,B,3.0
200056E,C+,2.3
200057H,B+,3.3
200058L,B,3.0
200059P,B+,3.3
200060K,C,2.0
200061N,A,4.0
200062T,B,3.0
200063X,A,4.0
200064C,B+,3.3
200065F,C-,1.7
200066J,C+,2.3
200067M,A-,3.7
200068R,A+,4.0
200069V,A,4.0
200070P,B-,2.7
200071U,B+,3.3
200072A,A,4.0
200073D,B+,3.3
200074G,I-we,0
200075K,B+,3.3
200076N,B-,2.7
200077T,D,1.0
200078X,A-,3.7
200079C,C-,1.7
200080V,C,2.0
200081B,B+,3.3
200082E,A,4.0
200083H,A,4.0
200084L,A-,3.7
200085P,B,3.0
200086U,F,0
200087A,B+,3.3
200088D,A+,4.0
200089G,B,3.0
200090C,A-,3.7
200091F,B,3.0
200092J,B-,2.7
200093M,B,3.0
200094R,A,4.0
200095V,B+,3.3
200096B,I-we,0
200097E,I-we,0
200098H,B,3.0
200099L,C-,1.7
200100K,B-,2.7
200101N,B-,2.7
200102T,A,4.0
200103X,C+,2.3
200104C,B,3.0
200105F,A,4.0
200106J,C-,1.7
200107M,C,2.0
200108R,A-,3.7
200109V,B,3.0
200110P,A-,3.7
200111U,C-,1.7
200112A,A-,3.7
200113D,B+,3.3
200114G,A,4.0
200115K,A,4.0
200116N,C,2.0
200117T,B+,3.3
200118X,A,4.0
200119C,A,4.0
200120V,A-,3.7
200121B,F,0
200122E,C+,2.3
200123H,A,4.0
200124L,C+,2.3
200125P,A+,4.0
200126U,A,4.0
200127A,C,2.0
200128D,A,4.0
200129G,B,3.0
200130C,B-,2.7
200131F,B+,3.3
200132J,C,2.0
200133M,B-,2.7
200134R,A-,3.7
200135V,B+,3.3
200136B,B+,3.3
200137E,C,2.0
200138H,C+,2.3
200139L,A,4.0
200140G,C+,2.3
200141K,B,3.0
200142N,C+,2.3
200143T,C-,1.7
200144X,A+,4.0
200145C,C,2.0
200146F,B-,2.7
200147J,C-,1.7
200148M,A+,4.0
200149R,B-,2.7
200150L,B-,2.7
200151P,A,4.0
200152U,C+,2.3
200153A,C,2.0
200154D,A,4.0
200155G,B-,2.7
200156K,B,3.0
200157N,B+,3.3
200158T,B+,3.3
200159X,B,3.0
200160R,A+,4.0
200161V,C,2.0
200162B,F,0
200163E,B+,3.3
200164H,A+,4.0
200165L,A+,4.0
200166P,B,3.0
200167U,A-,3.7
200168A,A,4.0
200169D,B+,3.3
200170X,A-,3.7
200171C,B,3.0
200172F,A,4.0
200173J,A+,4.0
200174M,C+,2.3
200175R,A-,3.7
200176V,A,4.0
200177B,C-,1.7
200178E,C+,2.3
200179H,B+,3.3
200180D,B+,3.3
200181G,C+,2.3
200182K,C+,2.3
200183N,B+,3.3
200184T,B,3.0
200185X,A-,3.7
200186C,C+,2.3
200187F,A-,3.7
200188J,B,3.0
200189M,A,4.0
200190H,C+,2.3
200191L,B+,3.3
200192P,C-,1.7
200193U,B-,2.7
200194A,C,2.0
200195D,C+,2.3
200196G,A,4.0
200197K,B,3.0
200198N,B-,2.7
200199T,A+,4.0
200200R,I-we,0
200201V,A,4.0
200202B,B+,3.3
200203E,C+,2.3
200204H,B-,2.7
200205L,C,2.0
200206P,B+,3.3
200207U,A,4.0
200208A,B,3.0
200209D,B-,2.7
200210X,B-,2.7
200211C,B+,3.3
200212F,A,4.0
200213J,I-we,0
200214M,B,3.0
200215R,B,3.0
200216V,C,2.0
200217B,B-,2.7
200218E,B,3.0
200219H,C,2.0
200220D,A-,3.7
200221G,A,4.0
200222K,A+,4.0
200223N,C,2.0
200224T,C+,2.3
200225X,B,3.0
200226C,A,4.0
200227F,A,4.0
200228J,C,2.0
200229M,B-,2.7
200230H,C,2.0
200231L,B-,2.7
200232P,A,4.0
200233U,C,2.0
200234A,A,4.0
200235D,C-,1.7
200236G,B+,3.3
200237K,C,2.0
200238N,B+,3.3
200239T,A,4.0
200240M,A+,4.0
200241R,B-,2.7
200242V,A-,3.7
200243B,B-,2.7
200244E,B-,2.7
200245H,B-,2.7
200246L,C-,1.7
200247P,A,4.0
200248U,C+,2.3
200249A,B,3.0
200250T,A,4.0
200251X,A,4.0
200252C,F,0
200253F,D,1.0
200254J,A-,3.7
200255M,B-,2.7
200256R,B+,3.3
200257V,D,1.0
200258B,B-,2.7
200259E,B+,3.3
200260A,A,4.0
200261D,I-we,0
200262G,A,4.0
200263K,B-,2.7
200264N,A-,3.7
200265T,B-,2.7
200266X,B,3.0
200267C,C+,2.3
200268F,B-,2.7
200269J,B+,3.3
200270E,I-we,0
200271H,C+,2.3
200272L,B,3.0
200273P,A-,3.7
200274U,B,3.0
200275A,A-,3.7
200276D,B-,2.7
200277G,B+,3.3
200278K,B-,2.7
200279N,B-,2.7
200280J,C+,2.3
200281M,A+,4.0
200282R,A,4.0
200283V,A-,3.7
200284B,A+,4.0
200285E,A+,4.0
200286H,C,2.0
200287L,B+,3.3
200288P,C-,1.7
200289U,B,3.0
200290N,C,2.0
200291T,C+,2.3
200292X,C-,1.7
200293C,B,3.0
200294F,A,4.0
200295J,C+,2.3
200296M,A,4.0
200297R,C-,1.7
200298V,B+,3.3
200299B,B,3.0
200300A,A-,3.7
200301D,A,4.0
200302G,C,2.0
200303K,A,4.0
200304N,A-,3.7
200305T,B,3.0
200306X,A-,3.7
200307C,A,4.0
200308F,C,2.0
200309J,C,2.0
200310E,A,4.0
200311H,C-,1.7
200312L,A,4.0
200313P,B-,2.7
200314U,B-,2.7
200315A,B,3.0
200316D,B+,3.3
200317G,B-,2.7
200318K,A+,4.0
200319N,C+,2.3
200320J,C,2.0
200321M,B-,2.7
200322R,A,4.0
200323V,A,4.0
200324B,B+,3.3
200325E,B-,2.7
200326H,C-,1.7
200327L,A-,3.7
200328P,A-,3.7
200329U,C-,1.7
200330N,C+,2.3
200331T,A,4.0
200332X,B-,2.7
200333C,A,4.0
200334F,B,3.0
200335J,B+,3.3
200336M,B,3.0
200337R,C,2.0
200338V,B-,2.7
200339B,A+,4.0
200340U,A,4.0
200341A,C+,2.3
200342D,C,2.0
200343G,A-,3.7
200344K,B-,2.7
200345N,A,4.0
200346T,A+,4.0
200347X,B,3.0
200348C,B+,3.3
200349F,A+,4.0
200350B,B,3.0
200351E,B+,3.3
200352H,A,4.0
